,L,D,forward_time,forward_mem,backward_time,backward_mem
0,256,16,0.3443287299523945,13140480,0.44615877994147013,8912896
1,1024,16,0.5276902300283837,85852672,1.0499836701274035,1572864
2,4096,16,5.519146629867464,1097597440,13.034846659993491,6291456
3,8192,16,22.520709440104838,4325638656,44.377856720093405,12582912
4,256,32,0.36964651002563187,22053376,0.48397527996712597,786432
5,1024,32,0.49345794004693744,87425536,0.9141217599972151,3145728
6,4096,32,5.315352999969036,1103888896,12.399643370044942,12582912
7,8192,32,22.943139079998218,4338221568,46.43520810996051,25165824
8,256,64,0.5008319999978994,22839808,0.4656767800952366,1572864
9,1024,64,0.48752771004728856,90571264,0.9929423400717495,6291456
10,4096,64,5.795868709974457,1116471808,13.253958089972002,25165824
11,8192,64,25.066748249992088,4363387392,50.34384435015454,50331648
12,256,128,0.5086798499542056,24412672,0.5270961400128726,3145728
13,1024,128,0.5688070399446588,96862720,1.1183135400096944,12582912
14,4096,128,6.955999209985748,1141637632,14.566972629982047,50331648
15,8192,128,28.86380731997633,4413719040,49.52332926013696,100663296
